1506=1506
4619=4619
1769>4619
1398>1769
1293>1398
3000=3000
2112>3000
1643>2112
3770=3770
2137>3770
1152>2137
1058>1152
95>1058
1969=1969
4631=4631
4608>4631
4546>4608
1739>4546
2964=2964
1732>2964
1728>1732
679>1728
2005=2005
1334>2005
4549=4549
2391>4549
2298>2391
1185>2298
2292=2292
2182>2292
635>2182
3549=3549
2398>3549
2028>2398
368>2028
4491=4491
3174>4491
1030>3174
827>1030
3017=3017
3777=3777
1897>3777
1823>1897
1793>1823
1234>1793
554>1234
3416=3416
1061>3416
3919=3919
1402>3919
2729=2729
2601>2729
243>2601
157>243
3188=3188
2415>3188
923>2415
3697=3697
2716>3697
1685>2716
1477>1685
4713=4713
3065>4713
2154>3065
1443>2154
832>1443
3812=3812
3639>3812
1303>3639
1113>1303
4946=4946
4908>4946
242>4908
183=183
93>183
20>93
2660=2660
871>2660
101>871
82>101
692=692
3999=3999
3648>3999
1539>3648
1150>1539
958>1150
2648=2648
415>2648
3190=3190
1247>3190
534>1247
3459=3459
3151>3459
2914>3151
3802=3802
1351>3802
998>1351
973>998
931>973
352>931
104>352
83>104
2058=2058
4213=4213
3563>4213
3087>3563
1697>3087
1151>1697
742>1151
2831=2831
4678=4678
54=54
3550=3550
3450=3450
4042=4042
3865>4042
3317>3865
2267>3317
1579>2267
126>1579
3945=3945
1526>3945
1111>1526
4826=4826
3391>4826
3129>3391
2699>3129
1297>2699
1088>1297
731>1088
1719=1719
4334>1719
4620>4334
2512=2512
2911>2512
1918=1918
2903=2903
2871=2871
979=979
1018>979
3283>1018
4224>3283
325=325
4824>325
1225=1225
1295>1225
3930=3930
620=620
1720>620
2461>1720
2974>2461
3422>2974
3738>3422
776=776
2488=2488
4385>2488
3117=3117
4357>3117
2248=2248
1097=1097
2080>1097
2525>2080
2784>2525
3824>2784
4274>3824
115=115
4367=4367
3768=3768
3911=3911
4556>3911
453=453
4950=4950
820=820
1098>820
2364>1098
4096>2364
2977=2977
1480=1480
2217>1480
4515>2217
501=501
1801>501
1306=1306
1937>1306
2162=2162
2714>2162
3183>2714
3399>3183
3978=3978
2652=2652
4769=4769
3314=3314
3895=3895
1138=1138
1448>1138
3700>1448
4320>3700
528=528
1188>528
4276>1188
4286>4276
2377=2377
3866>2377
4099>3866
4220>4099
4273>4220
2508=2508
2558>2508
2782>2558
3197>2782
3947>3197
4767>3947
709=709
2505>709
3071>2505
304=304
634>304
1130>634
1416>1130
2186>1416
2346>2186
36=36
2440>36
3289=3289
2998=2998
3294>2998
4453>3294
1942=1942
3066>1942
3848>3066
4018>3848
4288>4018
3048=3048
857=857
1326>857
1563>1326
4165>1563
153=153
842>153
2121>842
2498>2121
2734>2498
3191>2734
3414>3191
44=44
610>44
3747>610
4284>3747
204=204
1943>204
3010>1943
3817>3010
703=703
3840>703
3889>3840
4718>3889
4772>4718
4968>4772
24=24
660>24
1174>660
1419>1174
1860=1860
2045>1860
2366>2045
3455>2366
3833>3455
1903=1903
408=408
502>408
775>502
874>775
1302>874
4641>1302
4671>4641
1450=1450
2497>1450
4232>2497
942=942
1310>942
1816>1310
2153>1816
3345>2153
4440>3345
1014=1014
3153>1014
3653>3153
1590=1590
1741>1590
404=404
474>404
682>474
1730>682
3099>1730
3385>3099
3609>3385
272=272
1933>272
2051>1933
663=663
2141>663
3405>2141
4155>3405
4241>4155
1464=1464
2872>1464
4322>2872
881=881
2069>881
2106>2069
2388>2106
4012>2388
4194>4012
271=271
793>271
4567>793
1827=1827
4534>1827
910=910
1149>910
3018>1149
99=99
1702>99
944=944
1735>944
2697>1735
2277=2277
2480>2277
2835>2480
4820>2835
1746=1746
2264>1746
2724>2264
4021>2724
112=112
921>112
3359>921
3649>3359
4407>3649
1508=1508
2829>1508
2913>2829
3708>2913
4837>3708
2934=2934
4604>2934
402=402
3434>402
4669>3434
1479=1479
1841>1479
2640>1841
151=151
1468>151
3003>1468
4130>3003
2165=2165
229=229
2036>229
3248>2036
4095>3248
484=484
2902=2902
186=186
786>186
2427>786
2462>2427
4788>2462
4803>4788
562=562
780>562
1317>780
1602>1317
1750>1602
2686=2686
3205>2686
3986>3205
76=76
690>76
1093>690
1566=1566
4319>1566
4906>4319
580=580
1187>580
4140>1187
4472>4140
3092=3092
3591>3092
2565=2565
488=488
3990>488
4171>3990
3049=3049
4030>3049
4827>4030
2886=2886
1420=1420
1655>1420
2270=2270
3944>2270
4184>3944
270=270
2331>270
1514=1514
3558>1514
1800=1800
3998>1800
73=73
289>73
3235>289
3387>3235
3417>3387
