epoch,time,train_loss,val_loss,train_loss_q,train_loss_reg,val_loss_q,val_loss_reg
0,17.981696128845215,317.9896659851074,95.93007354736328,317.4917529713024,0.49791627150790935,95.57351531982422,0.35655808448791504
1,17.214659690856934,119.83982641046697,65.55129699707031,119.60464824329723,0.23517856865443967,65.16259002685547,0.38870550990104674
2,17.106412410736084,83.20790785009211,55.58428268432617,82.80961071361195,0.39829738946123555,55.26346664428711,0.32081623673439025
3,16.999340295791626,64.62785200639205,51.47449569702148,64.31986904144287,0.30798308144916187,51.149437713623044,0.32505775690078736
4,17.061002016067505,64.59558352557096,48.43027954101562,64.3146296414462,0.28095394203608687,48.13009185791016,0.300187087059021
5,16.953054666519165,51.98938291723078,42.639308547973634,51.67869836633856,0.31068442863496865,42.31566390991211,0.32364524602890016
6,16.922312259674072,43.228318734602496,41.4535572052002,42.85660990801725,0.37170888957652176,41.11300048828125,0.34055625796318056
7,16.978429079055786,38.4047078219327,37.141875457763675,38.037956497885965,0.36675143241882324,36.78534622192383,0.35652985572814944
8,16.861476182937622,34.060374996878885,33.68998260498047,33.70499385486949,0.3553811332041567,33.357459259033206,0.3325232207775116
9,16.907768726348877,29.49108544262973,29.96203269958496,29.1233342777599,0.3677512820471417,29.588909530639647,0.37312266826629636
10,16.91152572631836,26.645552028309215,26.979742431640624,26.26498118313876,0.3805707875977863,26.607208251953125,0.37253373861312866
11,16.866305351257324,24.250300645828247,23.2578125,23.840116002342917,0.41018461097370496,22.821193313598634,0.4366191625595093
12,16.917571544647217,22.205302693627097,21.62337875366211,21.766000856052745,0.43930187685923144,21.188360595703124,0.43501817584037783
13,16.9347026348114,20.374655853618275,19.504092407226562,19.889116937463935,0.48553894460201263,19.010308837890626,0.493783700466156
14,16.836708068847656,18.71926656636325,17.878670120239256,18.209617961536754,0.5096486671404405,17.365711212158203,0.5129590094089508
15,16.73545551300049,17.105572375384245,16.141583824157713,16.5536958954551,0.5518764359029856,15.559213447570801,0.5823703050613404
16,16.96697187423706,15.404718377373435,14.664541816711425,14.799814809452403,0.6049035652117296,14.04729766845703,0.617244017124176
17,16.862659215927124,14.043324318799106,13.210942649841309,13.409214821728794,0.6341094198552045,12.576130867004395,0.6348117589950562
18,16.923853635787964,12.970462105490945,12.126952743530273,12.348242282867432,0.6222197819839824,11.5004093170166,0.6265433073043823
19,16.964285850524902,12.24886423891241,11.47917423248291,11.622340419075705,0.6265237493948503,10.846763801574706,0.6324104428291321
20,16.893977165222168,11.649351618506692,11.14647388458252,11.021735082973134,0.6276164637370543,10.52951946258545,0.6169543743133545
21,16.924848079681396,11.205751852555709,10.69650058746338,10.562753959135575,0.6429978731003675,10.066569328308105,0.6299312829971313
22,16.873234272003174,10.884816581552679,10.483748245239259,10.256939953023737,0.6278765160929073,9.885486793518066,0.5982613086700439
