epoch,time,train_loss,val_loss
0,6.904803037643433,333.37289948896927,133.27110900878907
1,6.224080801010132,142.27820032293147,91.32051086425781
2,6.113470554351807,104.53193586522883,64.79608993530273
3,6.127948760986328,78.35367644916882,57.50951156616211
4,6.056770086288452,66.66808024319735,51.72661514282227
5,6.012148857116699,59.99163735996593,48.02053680419922
6,6.0335469245910645,55.64064754139293,46.766126251220705
7,6.034469842910767,51.1089090867476,45.26485061645508
8,6.115454435348511,46.81480758840387,44.999386596679685
9,6.037282943725586,42.69931780208241,41.91471900939941
10,6.031750440597534,40.257967645471744,39.84680328369141
11,6.009068250656128,37.143437125466086,38.94692039489746
12,5.967923641204834,33.505468888716265,35.05321083068848
13,6.065344333648682,31.002234285528008,32.19287452697754
14,5.976537466049194,28.443961576981977,31.710061645507814
15,5.977737903594971,26.266254728490654,26.24860610961914
16,5.961357593536377,25.208897070451215,24.234305572509765
17,5.981595993041992,23.575144464319404,22.5837760925293
18,5.9959917068481445,22.69933661547574,20.73379249572754
19,5.998076438903809,20.963210409337822,19.15385208129883
20,6.047529697418213,20.08652494170449,17.760156440734864
21,5.921099662780762,19.388023896650836,16.521451568603517
22,5.914452314376831,18.27758184346286,16.5645845413208
23,5.9958038330078125,17.314403252168134,15.000695419311523
24,6.026008129119873,16.276665687561035,14.149473190307617
25,5.9835944175720215,15.562336856668646,13.43716640472412
26,5.9442431926727295,14.646484851837158,12.931425857543946
27,5.931823492050171,14.181291103363037,12.666375541687012
28,5.946781396865845,13.654412529685281,12.248199462890625
29,5.951879262924194,13.228458838029342,11.990740966796874
30,5.873056650161743,12.833859400315719,11.569772911071777
31,5.932978868484497,12.472530473362315,11.23333797454834
32,5.9224066734313965,12.208772778511047,10.891435623168945
33,5.920886993408203,11.915345961397344,10.724193382263184
34,5.981236696243286,11.650396379557522,10.51957836151123
35,5.971693992614746,11.305494752797214,10.291992568969727
36,5.937923431396484,11.318526029586792,10.133388328552247
37,5.929396629333496,10.74589373848655,10.065596199035644
38,5.939230918884277,10.76321513002569,9.86422119140625
39,5.91526985168457,10.267412044785239,9.500160789489746
40,5.8953447341918945,10.04582765969363,9.333776092529297
41,5.842139720916748,9.769518722187389,9.198003578186036
42,5.909974813461304,9.642826708880337,9.098195457458496
43,5.912006616592407,9.433157714930447,8.924496078491211
44,5.91746973991394,9.178324591029774,8.66981544494629
45,5.898422956466675,8.938220479271628,8.449891281127929
46,5.899984121322632,8.758868477561258,8.365214729309082
47,5.901590824127197,8.499846545132725,8.238437080383301
48,5.897047519683838,8.312417940659957,8.171282863616943
49,5.890817165374756,8.207487604834817,7.956877613067627
